Time Interval,F1,F2,F3,F4,F5,F6
1676,155,163,167,171,179,183
1677,175,179,183,187,191,195
1678,187,191,195,195,199,199
1679,191,191,191,191,191,191
1680,179,179,179,179,179,175
1681,155,159,159,159,155,155
1682,147,151,151,151,151,151
1683,151,151,151,151,151,151
1684,163,163,163,159,159,159
1685,179,179,179,175,175,171
1686,191,195,191,191,191,187
1687,199,203,207,207,207,207
1688,203,211,215,215,223,223
1689,215,223,227,231,239,243
1690,235,247,251,255,255,255
1691,255,255,255,255,255,255
1692,255,255,255,255,255,255
1693,239,239,239,239,239,239
1694,211,211,211,211,215,211
1695,195,195,195,195,199,199
1696,191,195,195,195,199,199
1697,203,203,203,203,203,203
1698,211,211,211,211,207,207
1699,219,215,211,211,207,203
1700,219,211,211,207,203,203
1701,215,211,207,207,203,203
1702,219,219,219,215,215,215
1703,223,227,227,227,227,227
1704,227,235,235,235,235,235
1705,235,239,239,239,239,239
1706,239,243,243,247,247,247
1707,247,251,251,255,255,255
1708,251,255,255,255,255,255
1709,251,255,255,255,255,255
1710,243,247,251,255,255,255
1711,235,239,243,247,255,255
1712,235,239,243,251,255,255
1713,255,255,255,255,255,255
1714,255,255,255,255,255,255
1715,255,255,255,255,255,255
1716,255,255,255,255,255,255
1717,255,255,255,255,255,255
1718,255,255,255,255,255,255
1719,255,255,255,255,255,255
1720,255,255,255,255,255,255
1721,255,255,255,255,255,255
1722,255,255,255,255,255,255
1723,255,255,255,255,255,255
1724,255,255,255,255,255,255
1725,255,255,255,255,255,255
1726,255,255,255,255,255,255
1727,255,255,255,255,255,255
1728,255,255,255,255,255,255
1729,255,255,255,255,255,255
1730,163,151,147,143,139,135
1731,43,39,39,35,35,35
1732,0,0,0,0,0,0
1733,0,0,0,0,0,0
1734,0,0,0,0,0,0
1735,0,0,0,0,0,0
1736,0,0,0,0,0,0
1737,0,0,0,0,0,0
1738,0,0,0,0,0,0
1739,0,3,7,11,11,15
1740,15,23,23,27,27,31
1741,31,35,39,39,43,43
1742,51,59,59,63,67,71
1743,83,91,95,95,103,107
1744,115,119,123,123,127,127
1745,115,111,111,107,103,99
1746,107,103,99,95,91,87
1747,107,107,107,103,103,99
1748,123,127,127,131,131,131
1749,147,155,159,159,167,167
1750,163,171,175,179,187,187
1751,167,171,175,179,187,187
1752,175,175,179,179,183,187
1753,187,191,191,191,195,195
1754,211,211,215,215,215,215
1755,231,231,231,231,231,227
1756,219,219,219,219,215,211
1757,207,207,207,207,203,203
1758,199,199,199,199,199,199
1759,195,199,199,199,199,199
1760,199,199,199,199,199,199
1761,195,195,199,199,199,199
1762,183,187,187,191,191,191
1763,167,171,175,175,179,183
1764,155,159,163,163,171,175
1765,151,155,155,159,163,167
1766,155,155,155,155,151,151
1767,143,143,139,139,139,135
1768,119,119,119,119,119,119
1769,103,107,107,107,111,111
1770,99,103,103,107,107,111
1771,103,107,107,111,111,111
1772,111,111,115,115,115,119
1773,115,119,119,123,127,127
1774,127,131,135,139,143,147
1775,151,159,159,163,171,171
1776,183,187,191,191,195,195
1777,211,215,215,215,219,219
1778,219,219,223,223,227,227
1779,227,227,227,231,231,231
1780,227,227,231,231,235,235
1781,219,219,223,223,231,231
1782,203,207,207,211,219,223
1783,191,199,199,203,215,219
1784,195,199,207,211,219,227
1785,207,219,223,227,243,247
1786,227,239,243,251,255,255
1787,251,255,255,255,255,255
1788,255,255,255,255,255,255
1789,255,255,255,255,255,255
1790,247,251,251,251,255,255
1791,239,243,247,247,251,251
1792,231,239,243,247,251,251
1793,231,239,243,247,251,251
1794,239,243,247,247,251,251
1795,247,247,251,251,251,251
1796,251,251,251,251,251,251
1797,247,247,247,251,251,251
1798,235,239,239,239,243,247
1799,239,239,239,239,243,243
1800,243,243,243,243,243,247
1801,251,251,255,255,255,255
1802,255,255,255,255,255,255
1803,255,255,255,255,255,255
1804,255,255,255,255,255,255
1805,255,255,255,255,255,255
1806,239,239,239,243,239,239
1807,211,207,207,207,203,203
1808,167,167,167,167,163,159
1809,75,75,75,75,71,67
1810,27,31,31,31,31,31
1811,0,0,0,3,3,7
1812,0,0,0,0,0,0
1813,0,0,0,0,0,0
1814,0,0,0,0,0,0
1815,0,0,0,0,0,0
1816,0,0,0,0,0,0
1817,0,0,0,0,0,0
1818,0,0,0,0,0,0
1819,19,19,19,23,23,27
1820,47,51,55,55,59,63
1821,91,95,99,99,103,107
1822,135,143,143,147,151,151
1823,179,187,187,187,191,191
1824,203,207,207,211,211,211
1825,211,215,219,223,227,227
1826,215,227,231,235,239,239
1827,219,227,231,235,235,235
1828,223,223,227,223,219,219
1829,223,219,219,215,211,207
1830,235,231,227,227,219,219
1831,235,235,231,231,227,227
1832,223,223,223,223,227,227
1833,203,207,207,211,215,215
1834,187,191,191,195,199,203
1835,183,183,187,187,191,195
1836,187,183,187,187,187,191
1837,187,187,187,187,187,191
1838,187,187,187,187,187,187
1839,187,187,183,183,183,183
1840,187,183,183,183,183,183
1841,179,179,179,179,183,183
1842,179,179,179,179,183,187
1843,187,187,187,191,195,195
1844,211,211,211,211,215,215
1845,239,243,243,243,243,243
1846,255,255,255,255,255,255
1847,255,255,255,255,255,255
1848,243,243,243,243,239,239
1849,195,191,191,191,187,183
1850,131,127,127,127,123,123
1851,55,55,55,55,59,59
1852,55,55,55,55,59,59
1853,71,75,75,75,79,83
1854,103,107,107,107,111,111
1855,135,139,139,139,143,143
1856,155,159,163,163,167,167
1857,175,179,183,183,187,187
1858,191,195,199,199,203,203
1859,211,215,219,219,227,227
1860,243,247,251,251,255,255
1861,255,255,255,255,255,255
1862,255,255,255,255,255,255
1863,255,255,255,255,255,255
1864,255,255,255,255,255,255
1865,255,255,255,255,255,255
1866,255,255,255,255,255,255
1867,255,255,255,255,255,255
1868,255,255,255,255,255,255
1869,255,255,255,255,255,255
1870,255,255,255,255,255,255
1871,255,255,255,255,255,255
1872,255,255,255,255,255,255
1873,255,255,255,255,255,255
1874,255,255,255,255,255,255
1875,255,255,255,255,255,255
1876,255,255,255,255,255,255
1877,255,255,255,255,255,255
1878,239,235,239,239,247,251
1879,235,235,235,239,243,247
1880,235,235,239,239,247,251
1881,223,227,231,235,239,243
1882,211,215,219,223,227,231
1883,207,211,211,215,219,223
1884,211,215,219,219,223,227
1885,219,219,219,223,223,223
1886,223,223,223,223,219,219
1887,223,223,223,227,223,223
1888,231,239,239,243,243,247
1889,255,255,255,255,255,255
1890,255,255,255,255,255,255
1891,255,255,255,255,255,255
1892,255,255,255,255,255,255
1893,255,255,255,255,255,255
1894,255,255,255,255,255,255
1895,255,255,255,255,255,255
1896,255,255,255,255,255,255
1897,255,255,255,255,255,255
1898,255,255,255,255,255,255
1899,255,255,255,255,255,255
1900,255,255,255,255,255,255
1901,255,255,255,255,255,255
1902,255,255,255,255,255,255
1903,127,119,115,111,107,103
1904,0,0,0,0,0,0
1905,0,0,0,0,0,0
1906,0,0,0,0,0,0
1907,0,0,0,0,0,0
1908,0,0,0,0,0,0
1909,0,3,7,15,27,31
1910,51,63,71,75,87,95
1911,115,123,127,131,143,147
1912,167,175,175,179,183,187
1913,211,215,219,219,223,227
1914,255,255,255,255,255,255
1915,255,255,255,255,255,255
1916,255,255,255,255,255,255
